bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2022-03-13 14:24:59.851672,2022-03-11,011155,1,1,0,CJ씨푸드1우,7940000000,200000,500,200000,373,0.19,49500,33550,325.41,122,N/A,N/A,20.41,1945,N/A,11.64,39700,39700,38800,39700,38300,540,21,,,-3830,삼성,394,미래에셋증권,100,대신,20,한국증권,13,신영,8,미래에셋증권,150,신한금융투자,100,NH투자증권,83,대신,61,교보,49,,,,,,0,0,0,0,0
2022-03-13 14:25:00.095432,2022-03-11,011150,1,1,0,CJ씨푸드,138333476050,35930773,500,35930773,256543,0.71,5440,3240,31.56,122,N/A,N/A,1.98,1945,N/A,11.64,3850,3850,3780,3850,3780,191148,731,+15221,-45,-15176,키움증권,62749,NH투자증권,20216,신한금융투자,18737,KB증권,12374,한국증권,11518,키움증권,62355,미래에셋증권,26523,NH투자증권,18587,KB증권,11107,삼성,10562,,,,,,0,0,0,0,0
2022-03-13 14:25:00.334270,2022-03-11,000590,1,1,0,CS홀딩스,78851120600,1154482,5000,1154482,31560,2.73,99400,55900,6.35,10759,N/A,N/A,0.31,223732,0.73,5.18,68300,68300,67800,69900,66700,3494,237,+879,+296,-1175,유안타증권,860,키움증권,616,삼성,367,신한금융투자,333,메릴린치,292,키움증권,1040,미래에셋증권,521,메리츠,501,KB증권,367,대신,239,,,,,,0,0,0,0,0
2022-03-13 14:25:00.606741,2022-03-11,012030,1,1,0,DB,181458887566,201173933,500,201173933,4782880,2.38,1465,834,16.11,56,N/A,N/A,0.49,1829,N/A,22.65,902,902,900,904,889,282610,253,+30336,+20,-30356,키움증권,129194,신한금융투자,42474,NH투자증권,32615,미래에셋증권,16505,삼성,14888,NH투자증권,58367,키움증권,53651,KB증권,40867,이베스트,28639,삼성,26823,,,,,,0,0,0,0,0
2022-03-13 14:25:00.960942,2022-03-11,016610,1,1,0,DB금융투자,270383497930,42446389,5000,42446389,4950583,11.66,7820,5600,1.90,3344,N/A,N/A,0.29,21598,7.85,3.63,6370,6370,6240,6390,6230,90412,571,-11698,+10077,1621,NH투자증권,31539,DB금융투자,13090,미래에셋증권,11672,한국증권,8211,키움증권,7459,삼성,14330,키움증권,13650,한화,9853,미래에셋증권,9724,유안타증권,6822,,,,,,0,0,0,0,0
2022-03-13 14:25:01.224024,2022-03-11,005830,1,1,0,DB손해보험,4078080000000,70800000,500,70800000,30401553,42.94,68500,42550,5.12,11259,5.00,10607,0.53,108805,6.08,6.79,57600,57600,59000,59200,57200,152557,8811,-4593,-27393,31986,제이피모간,30383,신한금융투자,16341,키움증권,14507,CLSA,12352,UBS,11707,신한금융투자,23462,골드만,15512,메릴린치,14819,신영,11834,모건스탠리,8971,,,,,,0,0,0,0,0
2022-03-13 14:25:01.473780,2022-03-11,000995,1,1,0,DB하이텍1우,10670020000,112316,5000,112316,1199,1.07,143000,90000,19.85,4787,8.00,11279,4.21,22563,0.53,12.29,95000,95000,95600,95600,94500,199,18,,,31986,KB증권,120,한화,51,NH투자증권,20,키움증권,4,케이티비,1,KB증권,106,NH투자증권,53,한화,28,SK,6,유안타증권,2,,,,,,0,0,0,0,0
2022-03-13 14:25:01.725457,2022-03-11,000990,1,1,0,DB하이텍,3103461301200,44398588,5000,44398588,10656177,24.00,85400,49200,14.60,4787,6.00,11279,3.10,22563,0.64,12.29,69900,69900,71800,72100,69200,801359,56442,-189234,-59498,248732,키움증권,103950,미래에셋증권,97006,한국증권,91273,NH투자증권,73455,삼성,58197,신한금융투자,105394,NH투자증권,81913,제이피모간,77634,한국증권,71621,미래에셋증권,66136,,,,,,0,0,0,0,0
2022-03-13 14:25:01.983227,2022-03-11,139130,1,1,0,DGB금융지주,1535844163640,169145833,5000,169145833,84442312,49.92,10850,7730,3.24,2799,3.00,3135,0.28,32241,6.94,4.43,9080,9080,9000,9130,9000,315418,2866,+59956,+35742,-95698,골드만,42947,한국증권,40339,한화,26802,한양,26455,제이피모간,26106,신한금융투자,73035,미래에셋증권,62644,한국증권,36023,KB증권,32853,키움증권,17898,,,,,,0,0,0,0,0
2022-03-13 14:25:02.247278,2022-03-11,001530,1,1,0,DI동일,625153095000,2510655,5000,2510655,81486,3.25,393940,143429,17.87,13932,N/A,N/A,0.89,278595,0.79,5.17,249000,249000,256000,260000,249000,9973,2520,+259,-2000,1741,미래에셋증권,3142,삼성,1205,신한금융투자,1202,키움증권,986,KB증권,799,NH투자증권,1222,키움증권,1216,유안타증권,1088,교보,1036,한국증권,975,,,,,,0,0,0,0,0
